,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
569,478,Brasov Airport,BRV,LROV,Brasov,45.701668,25.52,Romania,1740,1217,"{'name': 'Europe/Bucharest', 'offset': 10800, 'offsetHours': '3:00', 'abbr': 'EEST', 'abbrName': 'Eastern European Summer Time', 'isDst': True}",181
570,500,Bratislava M. R. Stefanik Airport,BTS,LZIB,Bratislava,48.170158,17.21266,Slovakia,436,78127,"{'name': 'Europe/Bratislava', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",201
571,497,Bratsk Airport,BTK,UIBB,Bratsk,56.370548,101.698303,Russia,1610,4837,"{'name': 'Asia/Irkutsk', 'offset': 28800, 'offsetHours': '8:00', 'abbr': '+08', 'abbrName': None, 'isDst': False}",182
572,529,Braunschweig Airport,BWE,EDVE,Braunschweig,52.31916,10.55611,Germany,295,30915,"{'name': 'Europe/Berlin', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",83
573,5676,Brawley Municipal Airport,BWC,KBWC,Brawley,32.992901,-115.516998,United States,-128,895,"{'name': 'America/Los_Angeles', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'PDT', 'abbrName': 'Pacific Daylight Time', 'isDst': True}",236
574,553,Brazzaville Maya Maya Airport,BZV,FCBB,Brazzaville,-4.2517,15.25303,Congo,1048,22542,"{'name': 'Africa/Brazzaville', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WAT', 'abbrName': 'West Africa Time', 'isDst': False}",51
575,2597,Brekstad Orland Airport,OLA,ENOL,Brekstad,63.698898,9.604003,Norway,28,3486,"{'name': 'Europe/Oslo', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",165
576,469,Bremen Airport,BRE,EDDW,Bremen,53.047501,8.786667,Germany,14,101183,"{'name': 'Europe/Berlin', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",83
577,4442,Bremerton National Airport,PWT,KPWT,Bremerton,47.485001,-122.763336,United States,439,49837,"{'name': 'America/Los_Angeles', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'PDT', 'abbrName': 'Pacific Daylight Time', 'isDst': True}",236
578,3728,Brescia Airport,VBS,LIPO,Brescia,45.428879,10.33055,Italy,356,29138,"{'name': 'Europe/Rome', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",109
579,4405,Brest Airport,BQT,UMBB,Brest,52.116669,23.883333,Belarus,469,814,"{'name': 'Europe/Minsk', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",21
580,315,Brest Bretagne Airport,BES,LFRB,Brest,48.44722,-4.42166,France,325,44283,"{'name': 'Europe/Paris', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",76
581,4519,Breves Airport,BVS,SNVS,Breves,-1.636789,-50.443901,Brazil,47,610,"{'name': 'America/Santarem', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
582,6284,Brevig Mission Airport,KTS,PFKT,Brevig Mission,65.331299,-166.466003,United States,38,1672,"{'name': 'America/Nome', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'AKDT', 'abbrName': 'Alaska Daylight Time', 'isDst': True}",236
583,372,Bria Airport,BIV,FEFR,Bria,6.527778,21.989441,Central African Republic,1975,84,"{'name': 'Africa/Bangui', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WAT', 'abbrName': 'West Africa Time', 'isDst': False}",43
584,335,Bridgetown Grantley Adams International Airport,BGI,TBPB,Bridgetown,13.0746,-59.492401,Barbados,169,81637,"{'name': 'America/Barbados', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",20
